Seeded μ,Class Size,CV 0.900,CV 0.950,μ 0.025,μ 0.975
0.1,15,0.2,0.236,-0.12,0.36
0.2,15,0.2,0.25,-0.04,0.52
0.3,15,0.2,0.28,0.04,0.6
0.4,15,0.2,0.314,0.12,0.68
0.5,15,0.25,0.4,0.2,0.76
0.6,15,0.28,0.4,0.28,0.84
0.7,15,0.333,0.52,0.44,0.92
0.8,15,1,1,0.52,1
0.1,20,0.153,0.2,-0.08,0.34
0.2,20,0.169,0.229,-0.02,0.46
0.3,20,0.169,0.236,0.04,0.58
0.4,20,0.2,0.262,0.16,0.64
0.5,20,0.2,0.28,0.22,0.76
0.6,20,0.25,0.314,0.34,0.82
0.7,20,0.28,0.4,0.46,0.88
0.8,20,0.4,1,0.58,1
0.1,25,0.133,0.179,-0.104,0.328
0.2,25,0.153,0.2,-0.008,0.424
0.3,25,0.153,0.2,0.088,0.52
0.4,25,0.169,0.236,0.184,0.616
0.5,25,0.2,0.25,0.28,0.712
0.6,25,0.2,0.28,0.376,0.808
0.7,25,0.25,0.4,0.472,0.904
0.8,25,0.4,0.4,0.616,0.952
0.1,30,0.127,0.165,-0.08,0.28
0.2,30,0.133,0.179,0,0.4
0.3,30,0.143,0.2,0.08,0.52
0.4,30,0.16,0.2,0.2,0.6
0.5,30,0.169,0.236,0.28,0.72
0.6,30,0.2,0.28,0.4,0.8
0.7,30,0.236,0.314,0.52,0.88
0.8,30,0.28,0.4,0.64,0.96
0.1,35,0.113,0.156,-0.063,0.28
0.2,35,0.127,0.165,0.006,0.383
0.3,35,0.133,0.179,0.109,0.486
0.4,35,0.143,0.2,0.211,0.589
0.5,35,0.16,0.2,0.314,0.691
0.6,35,0.2,0.25,0.417,0.794
0.7,35,0.2,0.28,0.52,0.863
0.8,35,0.28,0.4,0.657,0.931
0.1,40,0.1,0.138,-0.05,0.28
0.2,40,0.113,0.15,0.04,0.37
0.3,40,0.123,0.165,0.13,0.49
0.4,40,0.133,0.179,0.22,0.58
0.5,40,0.153,0.2,0.31,0.67
0.6,40,0.169,0.224,0.43,0.76
0.7,40,0.2,0.28,0.52,0.85
0.8,40,0.25,0.333,0.64,0.94
0.1,45,0.109,0.138,-0.04,0.253
0.2,45,0.11,0.143,0.04,0.36
0.3,45,0.113,0.15,0.12,0.467
0.4,45,0.127,0.169,0.227,0.573
0.5,45,0.143,0.179,0.333,0.68
0.6,45,0.16,0.2,0.44,0.76
0.7,45,0.2,0.25,0.547,0.84
0.8,45,0.236,0.314,0.653,0.92
0.1,50,0.1,0.127,-0.032,0.256
0.2,50,0.1,0.138,0.04,0.352
0.3,50,0.11,0.143,0.136,0.472
0.4,50,0.12,0.156,0.232,0.568
